created_at,full_text,cleansed,case_folding,tokenized,no_stopwords,stemmed,preprocessed_text
2025-10-31 23:35:24+00:00,Bahkan seorang mantan PSK bisa setia after jd istri artinya semua orang bisa berubah jd baik apapun masa lalunya. Seorang mantan PSK pun bisa sakit hati dan minta cerai ini soal perasaan bukan profesi. Paham sampai disini wahai kaum Adam ???,Bahkan seorang mantan PSK bisa setia after jd istri artinya semua orang bisa berubah jd baik apapun masa lalunya Seorang mantan PSK pun bisa sakit hati dan minta cerai ini soal perasaan bukan profesi Paham sampai disini wahai kaum Adam,bahkan seorang mantan psk bisa setia after jd istri artinya semua orang bisa berubah jd baik apapun masa lalunya seorang mantan psk pun bisa sakit hati dan minta cerai ini soal perasaan bukan profesi paham sampai disini wahai kaum adam,"['bahkan', 'seorang', 'mantan', 'psk', 'bisa', 'setia', 'after', 'jd', 'istri', 'artinya', 'semua', 'orang', 'bisa', 'berubah', 'jd', 'baik', 'apapun', 'masa', 'lalunya', 'seorang', 'mantan', 'psk', 'pun', 'bisa', 'sakit', 'hati', 'dan', 'minta', 'cerai', 'ini', 'soal', 'perasaan', 'bukan', 'profesi', 'paham', 'sampai', 'disini', 'wahai', 'kaum', 'adam']","['mantan', 'psk', 'setia', 'after', 'istri', 'berubah', 'apapun', 'lalunya', 'mantan', 'psk', 'sakit', 'hati', 'cerai', 'perasaan', 'bukan', 'profesi', 'paham', 'kaum', 'adam']","['mantan', 'psk', 'setia', 'after', 'istri', 'ubah', 'apa', 'lalu', 'mantan', 'psk', 'sakit', 'hati', 'cerai', 'asa', 'bukan', 'profesi', 'paham', 'kaum', 'adam']",mantan psk setia after istri ubah apa lalu mantan psk sakit hati cerai asa bukan profesi paham kaum adam
2025-10-31 23:24:31+00:00,@Salim_Iskandar Kalau kena cerai ni laju je lebai PAS sambung bayo ni ,Kalau kena cerai ni laju je lebai PAS sambung bayo ni,kalau kena cerai ni laju je lebai pas sambung bayo ni,"['kalau', 'kena', 'cerai', 'ni', 'laju', 'je', 'lebai', 'pas', 'sambung', 'bayo', 'ni']","['kena', 'cerai', 'laju', 'lebai', 'sambung', 'bayo']","['kena', 'cerai', 'laju', 'lebai', 'sambung', 'bayo']",kena cerai laju lebai sambung bayo
2025-10-31 23:22:46+00:00,@GoodRecom nikah modal nya komitmen klo gak komit mau lu kaya pun cerai juga,nikah modal nya komitmen klo gak komit mau lu kaya pun cerai juga,nikah modal nya komitmen klo gak komit mau lu kaya pun cerai juga,"['nikah', 'modal', 'nya', 'komitmen', 'klo', 'gak', 'komit', 'mau', 'lu', 'kaya', 'pun', 'cerai', 'juga']","['nikah', 'modal', 'komitmen', 'gak', 'komit', 'lu', 'cerai']","['nikah', 'modal', 'komitmen', 'gak', 'komit', 'lu', 'cerai']",nikah modal komitmen gak komit lu cerai
2025-10-31 23:20:03+00:00,semua org pada cerai gen z ketar ketir,semua org pada cerai gen z ketar ketir,semua org pada cerai gen z ketar ketir,"['semua', 'org', 'pada', 'cerai', 'gen', 'z', 'ketar', 'ketir']","['org', 'cerai', 'gen', 'z', 'ketar', 'ketir']","['org', 'cerai', 'gen', 'z', 'ketar', 'tir']",org cerai gen z ketar tir
2025-10-31 23:16:02+00:00,seung yang nyanyi malah jadi lagu cerai ,seung yang nyanyi malah jadi lagu cerai,seung yang nyanyi malah jadi lagu cerai,"['seung', 'yang', 'nyanyi', 'malah', 'jadi', 'lagu', 'cerai']","['seung', 'nyanyi', 'lagu', 'cerai']","['seung', 'nyanyi', 'lagu', 'cerai']",seung nyanyi lagu cerai
2025-10-31 23:13:27+00:00,@jek___ Kak Jek kalo (maaf) cerai gitu apa memang mahar bisa dikembalikan? Atau ga bisa? Karena misal mutlak itu sudah hak istri? ,Kak Jek kalo maaf cerai gitu apa memang mahar bisa dikembalikan Atau ga bisa Karena misal mutlak itu sudah hak istri,kak jek kalo maaf cerai gitu apa memang mahar bisa dikembalikan atau ga bisa karena misal mutlak itu sudah hak istri,"['kak', 'jek', 'kalo', 'maaf', 'cerai', 'gitu', 'apa', 'memang', 'mahar', 'bisa', 'dikembalikan', 'atau', 'ga', 'bisa', 'karena', 'misal', 'mutlak', 'itu', 'sudah', 'hak', 'istri']","['jek', 'maaf', 'cerai', 'mahar', 'dikembalikan', 'ga', 'mutlak', 'hak', 'istri']","['jek', 'maaf', 'cerai', 'mahar', 'kembali', 'ga', 'mutlak', 'hak', 'istri']",jek maaf cerai mahar kembali ga mutlak hak istri
2025-10-31 23:10:46+00:00,@Hilmi28 Waduh tad.... Klo praktek tepuk sakinah nanti jatuhnya hanya becandaan makanya cerai. Tepuk jidat aja biar pada mikir ,Waduh tad Klo praktek tepuk sakinah nanti jatuhnya hanya becandaan makanya cerai Tepuk jidat aja biar pada mikir,waduh tad klo praktek tepuk sakinah nanti jatuhnya hanya becandaan makanya cerai tepuk jidat aja biar pada mikir,"['waduh', 'tad', 'klo', 'praktek', 'tepuk', 'sakinah', 'nanti', 'jatuhnya', 'hanya', 'becandaan', 'makanya', 'cerai', 'tepuk', 'jidat', 'aja', 'biar', 'pada', 'mikir']","['tad', 'praktek', 'tepuk', 'sakinah', 'jatuhnya', 'becandaan', 'cerai', 'tepuk', 'jidat', 'aja', 'biar', 'mikir']","['tad', 'praktek', 'tepuk', 'sakinah', 'jatuh', 'becandaan', 'cerai', 'tepuk', 'jidat', 'aja', 'biar', 'mikir']",tad praktek tepuk sakinah jatuh becandaan cerai tepuk jidat aja biar mikir
2025-10-31 23:04:57+00:00,@ceimanzha Ada udah ada surat cerai dari agensi lamanya kok sebelum ping gabung GMM,Ada udah ada surat cerai dari agensi lamanya kok sebelum ping gabung GMM,ada udah ada surat cerai dari agensi lamanya kok sebelum ping gabung gmm,"['ada', 'udah', 'ada', 'surat', 'cerai', 'dari', 'agensi', 'lamanya', 'kok', 'sebelum', 'ping', 'gabung', 'gmm']","['surat', 'cerai', 'agensi', 'ping', 'gabung', 'gmm']","['surat', 'cerai', 'agens', 'ping', 'gabung', 'gmm']",surat cerai agens ping gabung gmm
2025-10-31 22:42:39+00:00,Cerai aja kamu Yangzhei (my 4th daughter) sama om2 ini Emak ga merestui,Cerai aja kamu Yangzhei my th daughter sama om ini Emak ga merestui,cerai aja kamu yangzhei my th daughter sama om ini emak ga merestui,"['cerai', 'aja', 'kamu', 'yangzhei', 'my', 'th', 'daughter', 'sama', 'om', 'ini', 'emak', 'ga', 'merestui']","['cerai', 'aja', 'yangzhei', 'my', 'th', 'daughter', 'om', 'emak', 'ga', 'merestui']","['cerai', 'aja', 'yangzhei', 'my', 'th', 'daughter', 'om', 'emak', 'ga', 'restu']",cerai aja yangzhei my th daughter om emak ga restu
2025-10-31 22:39:00+00:00,kak apaa alasan mereka sampai cerai gitu dan junior malah mau nikah lagi? tpi dia kelihatan masih sayang Jace? OON EMG JUNIOR INI MALES SEBEL EDAN,kak apaa alasan mereka sampai cerai gitu dan junior malah mau nikah lagi tpi dia kelihatan masih sayang Jace OON EMG JUNIOR INI MALES SEBEL EDAN,kak apaa alasan mereka sampai cerai gitu dan junior malah mau nikah lagi tpi dia kelihatan masih sayang jace oon emg junior ini males sebel edan,"['kak', 'apaa', 'alasan', 'mereka', 'sampai', 'cerai', 'gitu', 'dan', 'junior', 'malah', 'mau', 'nikah', 'lagi', 'tpi', 'dia', 'kelihatan', 'masih', 'sayang', 'jace', 'oon', 'emg', 'junior', 'ini', 'males', 'sebel', 'edan']","['apaa', 'alasan', 'cerai', 'junior', 'nikah', 'tpi', 'sayang', 'jace', 'oon', 'emg', 'junior', 'males', 'sebel', 'edan']","['apaa', 'alas', 'cerai', 'junior', 'nikah', 'tpi', 'sayang', 'jace', 'oon', 'emg', 'junior', 'males', 'sebel', 'edan']",apaa alas cerai junior nikah tpi sayang jace oon emg junior males sebel edan
2025-10-31 22:36:03+00:00,@twentyfirstof3 Minta cerai aja ga sih ,Minta cerai aja ga sih,minta cerai aja ga sih,"['minta', 'cerai', 'aja', 'ga', 'sih']","['cerai', 'aja', 'ga', 'sih']","['cerai', 'aja', 'ga', 'sih']",cerai aja ga sih
2025-10-31 22:29:09+00:00,@onedoory_ kak? jangan cerai plis demi aku ,kak jangan cerai plis demi aku,kak jangan cerai plis demi aku,"['kak', 'jangan', 'cerai', 'plis', 'demi', 'aku']","['jangan', 'cerai', 'plis']","['jangan', 'cerai', 'plis']",jangan cerai plis
2025-10-31 22:19:57+00:00,Capek banget TL ku jelek masalah MC muka bocil lah Deddy Corbuzier cerai lah Nerror gagal tayang lah. Plis kirimin aku AU RafayelMc or Allx cihuy mantap untuk refreshing ,Capek banget TL ku jelek masalah MC muka bocil lah Deddy Corbuzier cerai lah Nerror gagal tayang lah Plis kirimin aku AU RafayelMc or Allx cihuy mantap untuk refreshing,capek banget tl ku jelek masalah mc muka bocil lah deddy corbuzier cerai lah nerror gagal tayang lah plis kirimin aku au rafayelmc or allx cihuy mantap untuk refreshing,"['capek', 'banget', 'tl', 'ku', 'jelek', 'masalah', 'mc', 'muka', 'bocil', 'lah', 'deddy', 'corbuzier', 'cerai', 'lah', 'nerror', 'gagal', 'tayang', 'lah', 'plis', 'kirimin', 'aku', 'au', 'rafayelmc', 'or', 'allx', 'cihuy', 'mantap', 'untuk', 'refreshing']","['capek', 'tl', 'jelek', 'mc', 'muka', 'bocil', 'cerai', 'nerror', 'gagal', 'tayang', 'plis', 'kirimin', 'au', 'rafayelmc', 'or', 'allx', 'cihuy', 'mantap', 'refreshing']","['capek', 'tl', 'jelek', 'mc', 'muka', 'bocil', 'cerai', 'nerror', 'gagal', 'tayang', 'plis', 'kirimin', 'au', 'rafayelmc', 'or', 'allx', 'cihuy', 'mantap', 'refreshing']",capek tl jelek mc muka bocil cerai nerror gagal tayang plis kirimin au rafayelmc or allx cihuy mantap refreshing
2025-10-31 21:06:59+00:00,Ada janda kahwin dua kali pastu cerai. Hebat sungguh dapat lalui kegagalan banyak kali begotu. Ada yang kahwin sampai 4 kali Memikirkan kegagalan begitu saya jadi sedih,Ada janda kahwin dua kali pastu cerai Hebat sungguh dapat lalui kegagalan banyak kali begotu Ada yang kahwin sampai kali Memikirkan kegagalan begitu saya jadi sedih,ada janda kahwin dua kali pastu cerai hebat sungguh dapat lalui kegagalan banyak kali begotu ada yang kahwin sampai kali memikirkan kegagalan begitu saya jadi sedih,"['ada', 'janda', 'kahwin', 'dua', 'kali', 'pastu', 'cerai', 'hebat', 'sungguh', 'dapat', 'lalui', 'kegagalan', 'banyak', 'kali', 'begotu', 'ada', 'yang', 'kahwin', 'sampai', 'kali', 'memikirkan', 'kegagalan', 'begitu', 'saya', 'jadi', 'sedih']","['janda', 'kahwin', 'pastu', 'cerai', 'hebat', 'sungguh', 'lalui', 'kegagalan', 'begotu', 'kahwin', 'memikirkan', 'kegagalan', 'sedih']","['janda', 'kahwin', 'pastu', 'cerai', 'hebat', 'sungguh', 'lalu', 'gagal', 'begotu', 'kahwin', 'pikir', 'gagal', 'sedih']",janda kahwin pastu cerai hebat sungguh lalu gagal begotu kahwin pikir gagal sedih
